Method;File;Num Communities;Modularity;Jaccard Index;Normalized Mutual Information;Normalized Variation of Information
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.00_prs_0.02.net;12;0,4476729486173167;0,06812517308224869;0,7042749062797713;0,20801419589387612
Louvain;synthetic_network_N_300_blocks_5_prr_0.00_prs_0.02.net;13;0,44678612939258544;0,059385470877593216;0,6885289735796153;0,2252598947259267
InfoMap;synthetic_network_N_300_blocks_5_prr_0.00_prs_0.02.net;33;0,44283695356840974;0,024190885072655217;0,6080480489993939;0,34586543456657326
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.02_prs_0.02.net;10;0,3734862746450483;0,09095671534280662;0,7674522264533322;0,15190638737938386
Louvain;synthetic_network_N_300_blocks_5_prr_0.02_prs_0.02.net;11;0,38506865947824276;0,07621879646294702;0,714797997838523;0,19451994145811358
InfoMap;synthetic_network_N_300_blocks_5_prr_0.02_prs_0.02.net;25;0,3908482570232218;0,03899281711263715;0,6536526348393027;0,28593542847798614
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.04_prs_0.02.net;10;0,3252821960401974;0,10384495154735855;0,8319611192106873;0,1070951876632025
Louvain;synthetic_network_N_300_blocks_5_prr_0.04_prs_0.02.net;11;0,33997788215453834;0,08348808418446302;0,662306198084379;0,22903723101594683
InfoMap;synthetic_network_N_300_blocks_5_prr_0.04_prs_0.02.net;21;0,3573843630291073;0,057145072497480034;0,655693982735844;0,27357824853813417
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.06_prs_0.02.net;7;0,30601755023535465;0,10863386597612582;0,7755594994562925;0,13644373378126154
Louvain;synthetic_network_N_300_blocks_5_prr_0.06_prs_0.02.net;10;0,31455379039594955;0,08846522016592215;0,7210636163493082;0,19021380630137347
InfoMap;synthetic_network_N_300_blocks_5_prr_0.06_prs_0.02.net;1;0,0;0,1970711948901698;0,0;0,28217028254239485
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.08_prs_0.02.net;6;0,2899238672347928;0,17123824451410657;0,6577667773819308;0,1982321700336151
Louvain;synthetic_network_N_300_blocks_5_prr_0.08_prs_0.02.net;9;0,3061459550935902;0,15768184158270207;0,7518335602357261;0,16297736416450898
InfoMap;synthetic_network_N_300_blocks_5_prr_0.08_prs_0.02.net;1;0,0;0,1970711948901698;0,0;0,28217028254239485
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.10_prs_0.02.net;5;0,2978194781677945;0,28744462513318003;0,7238938546280789;0,14866616680265674
Louvain;synthetic_network_N_300_blocks_5_prr_0.10_prs_0.02.net;7;0,3228540292920554;0,2833373717793393;0,7266038506037747;0,1688067826783416
InfoMap;synthetic_network_N_300_blocks_5_prr_0.10_prs_0.02.net;1;0,0;0,1970711948901698;0,0;0,28217028254239485
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.12_prs_0.02.net;5;0,3545768145713882;0,580581288452019;0,6437885194948848;0,19685823542901873
Louvain;synthetic_network_N_300_blocks_5_prr_0.12_prs_0.02.net;5;0,388312570809297;0,803897930480209;0,9023871756671598;0,05506156921095273
InfoMap;synthetic_network_N_300_blocks_5_prr_0.12_prs_0.02.net;1;0,0;0,1970711948901698;0,0;0,28217028254239485
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.14_prs_0.02.net;5;0,40230758292207974;0,7254393779865554;0,7174570324075384;0,15893154313767538
Louvain;synthetic_network_N_300_blocks_5_prr_0.14_prs_0.02.net;5;0,4297073942649863;0,9360750518162976;0,968381319691175;0,01784339592855251
InfoMap;synthetic_network_N_300_blocks_5_prr_0.14_prs_0.02.net;5;0,430681169512042;0,9484865162355531;0,9578475130551617;0,023787947712667904
Agglomerative;synthetic_network_N_300_blocks_5_prr_0.16_prs_0.02.net;5;0,4352402280349481;0,8356821895424836;0,9142465717318133;0,04838996126352625
Louvain;synthetic_network_N_300_blocks_5_prr_0.16_prs_0.02.net;5;0,4587687404783566;1,0;1,0;0,0
InfoMap;synthetic_network_N_300_blocks_5_prr_0.16_prs_0.02.net;5;0,4587687404783566;1,0;1,0;0,0
